Age,Gender,Weight (kg),Height (m),Calories_Burned,Fat_Percentage,Daily meals frequency,Calories,Workout_Frequency (days/week)
34.91,Male,65.27,1.62,1080.9,26.800377179186803,2.99,1806.0,3.99
23.37,Female,56.41,1.55,1809.91,27.65502094955822,3.01,1577.0,4.0
33.2,Female,58.98,1.67,802.26,24.32082112410528,1.99,1608.0,2.99
38.69,Female,93.78,1.7,1450.79,32.81357178608907,3.0,2657.0,3.99
45.09,Male,52.42,1.88,1166.4,17.307318603384633,3.0,1470.0,4.0
53.19,Female,105.05,1.84,453.33,32.04906403773502,2.99,2767.0,3.02
23.17,Male,58.41,1.78,1953.9,20.54629200523472,2.02,1867.0,4.96
55.92,Female,84.07,1.63,727.81,32.08817620708069,2.99,2191.0,3.97
24.11,Female,88.58,1.79,2062.37,27.36724576855457,3.0,2587.0,4.01
39.19,Female,50.32,1.6,1157.25,21.90937914793248,3.01,1247.0,2.0
50.51,Male,86.37,1.63,1974.26,29.07152849804965,3.0,2476.0,4.01
47.77,Female,83.89,1.82,2733.4,23.64931819941694,3.01,2232.0,5.02
19.0,Male,82.66,1.96,2700.62,24.128786918912287,3.01,2569.0,5.02
38.01,Female,57.67,1.56,2345.2,26.59443119940612,3.98,1726.0,5.0
27.39,Female,71.79,1.97,743.85,24.477762525783994,3.01,2046.0,3.01
18.86,Female,95.12,1.85,1293.84,28.04992817494376,2.0,2455.0,4.0
40.36,Male,56.88,1.71,2189.58,21.80926489283508,1.98,1740.0,5.02
37.14,Male,76.48,1.77,1305.6,30.300737914959768,2.99,2166.0,4.0
18.93,Male,72.56,1.79,803.36,26.40511440359576,2.99,1802.0,2.99
46.0,Male,60.05,1.68,1544.4,21.804029360668224,1.99,1716.0,4.01
37.06,Female,73.04,1.74,1123.2,25.78541781279678,3.02,2038.0,3.0
50.23,Female,86.72,1.63,1326.0,29.12385208982389,3.0,2212.0,4.0
30.9,Female,76.77,1.71,1214.12,29.31860660365026,2.0,2182.0,3.98
24.03,Female,88.29,1.79,1831.81,26.7693540494346,2.99,2410.0,4.01
50.53,Male,57.01,1.91,1177.2,22.39259644326159,2.01,1510.0,3.99
54.03,Female,87.22,1.76,1067.38,28.418499463942585,3.0,2269.0,3.0
25.11,Female,105.44,1.88,1277.86,30.892571504733954,4.02,3016.0,2.99
39.05,Male,102.34,1.94,792.0,32.46285886287696,3.02,2624.0,3.01
44.1,Female,89.6,1.99,1848.0,23.09052321392091,2.99,2601.0,4.0
18.06,Male,58.56,1.61,2226.42,24.496921662616764,2.99,1549.0,3.99
57.07,Female,76.9,1.86,827.31,29.439410708808744,1.98,1981.0,3.99
49.66,Male,52.57,1.84,1324.8,14.84197561792194,3.0,1497.0,4.0
31.63,Male,126.53,1.83,790.68,35.0,3.0,3255.0,2.99
41.8,Male,59.72,1.74,2545.4,19.446703083030147,3.01,1741.0,5.01
37.51,Male,76.59,1.82,1072.8,22.57558193854224,3.02,1950.0,3.98
39.98,Male,79.99,1.76,1902.7,28.830453231342894,3.01,2030.0,5.01
25.49,Female,127.55,1.73,1607.84,35.0,2.99,3313.0,3.02
58.24,Female,56.96,1.7,895.4,23.5650452462822,3.0,1390.0,1.99
48.18,Female,56.53,1.51,1311.91,28.50765309226645,3.0,1489.0,3.97
27.19,Male,88.2,1.98,2577.96,21.047071801739808,2.02,2531.0,4.01
40.14,Male,51.72,1.61,566.57,23.71315012526436,1.99,1325.0,1.99
41.1,Female,77.05,1.79,1849.54,25.765634036189088,2.99,2334.0,4.0
52.36,Female,51.93,1.67,1818.3,22.0592370284323,3.01,1353.0,1.97
36.02,Female,109.87,1.77,786.11,33.42563807603815,3.0,2728.0,1.99
33.07,Male,102.83,1.75,1003.8,29.93347627236046,3.0,2657.0,3.0
37.35,Female,88.65,1.79,2490.11,29.59749049937583,3.01,2621.0,5.04
21.24,Female,80.78,1.9,2575.98,22.6918319466272,3.01,2174.0,4.01
25.76,Female,70.53,1.5,1011.08,30.919318997894145,3.0,1839.0,1.97
40.09,Male,54.73,1.61,1209.0,22.609754391390187,2.0,1549.0,3.98
32.59,Male,52.75,1.66,1248.53,23.56556909365815,3.01,1446.0,2.96
52.62,Female,84.36,1.76,1308.38,26.90164503779492,1.99,2285.0,5.01
58.93,Female,59.66,1.76,1787.42,21.52076364412733,3.03,1789.0,5.0
52.03,Female,59.98,1.71,1499.04,21.92316157235524,2.04,1648.0,2.97
30.75,Female,76.83,1.62,999.97,28.97544940228808,1.99,2268.0,3.97
29.01,Male,58.43,1.61,1296.0,27.545948725226136,1.99,1771.0,2.99
39.14,Female,71.32,1.88,665.5,23.967493304534432,3.0,1934.0,1.99
39.08,Male,55.58,1.71,2039.97,20.39435029298726,3.0,1656.0,5.0
38.16,Female,44.9,1.68,1092.62,20.66838612087244,3.0,1242.0,2.98
26.29,Female,59.21,1.51,2420.42,24.98062256347282,4.01,1872.0,4.97
26.92,Male,87.68,1.63,2052.22,29.90042295012659,4.01,2558.0,4.99
45.05,Male,63.63,1.54,1727.73,29.042268221161752,2.98,1918.0,3.99
58.04,Female,109.54,1.91,1065.6,30.72971438912612,3.01,2956.0,3.02
56.29,Female,125.88,1.86,960.8,35.0,2.99,3424.0,3.04
50.13,Female,70.32,1.68,1147.36,29.252529769449342,3.0,1861.0,1.98
56.77,Male,85.56,1.69,1842.22,28.59816726529328,3.01,2366.0,5.0
33.93,Female,64.38,1.78,1438.79,22.68075382819338,2.98,1731.0,4.02
18.77,Male,60.51,1.59,1012.92,27.30236727987143,1.99,1615.0,2.04
28.33,Female,69.13,1.58,1073.69,28.50902646757633,3.0,1995.0,2.98
31.96,Male,97.49,1.96,1467.58,26.502290685568045,3.0,2502.0,3.01
38.76,Male,85.97,1.82,2807.11,28.148384968178654,3.0,2466.0,5.03
36.52,Male,56.0,1.57,961.17,28.373558365381864,2.01,1433.0,2.02
52.85,Male,47.69,1.76,1399.2,19.119865654275376,4.01,1410.0,3.99
18.0,Female,64.01,1.63,580.8,26.843215360604923,3.0,1758.0,3.01
18.0,Female,62.43,1.59,1180.8,26.635811730396675,3.01,1857.0,4.01
43.69,Female,42.16,1.66,481.8,21.13820340651529,3.03,1142.0,2.01
30.47,Male,87.22,1.69,1810.99,29.381819818670085,3.0,2619.0,4.01
36.85,Male,76.15,1.82,1431.59,26.70870756569342,3.02,1891.0,3.98
18.8,Female,127.92,1.92,1211.62,32.137482441866815,2.99,3376.0,3.99
24.11,Male,58.82,1.76,415.42,23.042199944788766,2.99,1760.0,3.04
41.04,Female,82.17,1.66,2060.78,30.284776579530742,3.99,2327.0,4.99
